Order ID,Order Date,Customer Name,Region,City,Category,Product Name,Discount,Sales,Profit,Payment Mode
10001,19-10-2024,Kashvi Varty,South,Bangalore,Books,Non-Fiction Ipsum,5,68959,10525,Debit Card
10002,30-08-2025,Advik Desai,North,Delhi,Groceries,Rice Nemo,20,33732,6300,Debit Card
10003,04-11-2023,Rhea Kalla,East,Patna,Kitchen,Juicer Odio,20,207603,19850,Credit Card
10004,23-05-2025,Anika Sen,East,Kolkata,Groceries,Oil Doloribus,15,158610,36311,UPI
10005,19-01-2025,Akarsh Kaul,West,Pune,Clothing,Kids Wear Quo,10,45033,9050,Debit Card
10006,06-04-2025,Vardaniya Jayaraman,West,Pune,Furniture,Chair Assumenda,15,171220,23723,Credit Card
10007,13-10-2023,Drishya Khare,West,Mumbai,Clothing,Accessories Minima,5,6908,680,Debit Card
10008,17-08-2025,Misha Dua,North,Lucknow,Books,Biography Vel,10,14297,1289,Debit Card
10009,07-03-2025,Arhaan Vala,North,Jaipur,Groceries,Spices Expedita,20,32667,3701,Credit Card
10010,02-12-2024,Lavanya Hayer,West,Goa,Kitchen,Juicer Voluptatibus,15,28366,5703,UPI
10011,24-08-2025,Divyansh Thaman,North,Lucknow,Kitchen,Cookware Set Doloremque,20,17218,4140,Credit Card
10012,21-05-2024,Nishith Kumar,South,Hyderabad,Beauty,Perfume Itaque,10,73078,16217,Net Banking
10013,05-12-2024,Anika Khanna,North,Chandigarh,Home Decor,Vase Ratione,5,51253,6826,Credit Card
10014,03-12-2023,Amani Acharya,East,Patna,Clothing,Women's Wear Optio,0,119215,21029,UPI
10015,25-07-2025,Anay Grewal,North,Jaipur,Kitchen,Juicer Debitis,5,29344,5535,COD
10016,13-10-2023,Stuvan Majumdar,East,Bhubaneswar,Electronics,Laptop Numquam,10,232403,35658,Debit Card
10017,24-05-2024,Ritvik Ramanathan,South,Hyderabad,Electronics,Smartwatch Ad,15,134362,26225,UPI
10018,07-09-2025,Darshit Sharma,South,Chennai,Groceries,Oil Odio,10,13590,1235,Net Banking
10019,15-06-2024,Sara Chanda,East,Patna,Sports,Dumbbells Soluta,20,39790,4241,Credit Card
10020,11-01-2024,Gatik Ravi,West,Pune,Books,Textbook Inventore,5,172867,39438,Debit Card
10021,15-10-2023,Jivin Sunder,West,Ahmedabad,Kitchen,Refrigerator Commodi,20,5259,581,UPI
